ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q1727179,,,,,,Razor of Occam,https://www.wikidata.org/wiki/Q1727179,1/1/1998,musical group,,,
Q57085276,,,Australian girl group,,,Real Blondes,https://www.wikidata.org/wiki/Q57085276,,musical group,,,
Q1496230,,,Australian New Wave/synthpop band,,,Real Life,https://www.wikidata.org/wiki/Q1496230,1/1/1980,musical group,,,
Q7301638,,,,,,Rebecca's Empire,https://www.wikidata.org/wiki/Q7301638,,musical group,,,
Q58009683,,,,,,Reckless Hearts,https://www.wikidata.org/wiki/Q58009683,,musical group,,,
Q7304411,,,Australian indie rock band,,,Red Jezebel,https://www.wikidata.org/wiki/Q7304411,1/1/1997,musical group,,,
Q12811500,,,Australian indie rock band from Sydney,,,Red Riders,https://www.wikidata.org/wiki/Q12811500,1/1/2003,musical group,,,
Q18163486,,,Australian rock band,,,Redcoats,https://www.wikidata.org/wiki/Q18163486,1/1/2009,musical group,,,
Q7305883,,,Australian band,,,Redgum,https://www.wikidata.org/wiki/Q7305883,1/1/1975,musical group,,,
Q60736005,,,Australian band,,,RedHook,https://www.wikidata.org/wiki/Q60736005,,musical group,,,
Q7309583,,,,,,Regular John,https://www.wikidata.org/wiki/Q7309583,,musical group,,,
Q7309724,,,Australian rock band from Brisbane,,,Regurgitator,https://www.wikidata.org/wiki/Q7309724,1/1/1996,musical group,,,
Q2143899,,,,,,Renegade,https://www.wikidata.org/wiki/Q2143899,,musical group,,,
Q47087185,,,,,,Renegade Funktrain,https://www.wikidata.org/wiki/Q47087185,1/1/1994,musical group,,,
Q7315562,,,,,,Resin Dogs,https://www.wikidata.org/wiki/Q7315562,,musical group,,,
Q51030081,,,,,,Resist the Thought,https://www.wikidata.org/wiki/Q51030081,,musical group,,,
Q24075479,,,Technical Death Metal Band from Australia,,,Revulsed,https://www.wikidata.org/wiki/Q24075479,1/1/2010,musical group,,,
Q7320248,,,,,,Rhapsody,https://www.wikidata.org/wiki/Q7320248,,musical group,,,
Q7320517,,,,,,Rhibosome,https://www.wikidata.org/wiki/Q7320517,,musical group,,,
Q7321526,,,band,,,Rhubarb,https://www.wikidata.org/wiki/Q7321526,1/1/1996,musical group,,,
Q16968576,,,,,,Richard in Your Mind,https://www.wikidata.org/wiki/Q16968576,,musical group,,,
Q7335771,,,,,,Riptides,https://www.wikidata.org/wiki/Q7335771,1/1/1977,musical group,,,
Q51030095,,,,,,Rise of Avernus,https://www.wikidata.org/wiki/Q51030095,,musical group,,,
Q7277007,,,,,,RMIT Music,https://www.wikidata.org/wiki/Q7277007,1/1/2004,musical group,,,
Q20827040,,,,,,Road to Ransome,https://www.wikidata.org/wiki/Q20827040,,musical group,,,
Q2155978,,,,,,Roaring Jack,https://www.wikidata.org/wiki/Q2155978,,musical group,,,
Q24997547,,,,,,Robot Child,https://www.wikidata.org/wiki/Q24997547,,musical group,,,
Q7355136,,,Australian alternative rock band,,,Rocket Science,https://www.wikidata.org/wiki/Q7355136,,musical group,,,
Q7355201,,,"indie rock band from Brisbane, Australia",,,Rocketsmiths,https://www.wikidata.org/wiki/Q7355201,,musical group,,,
Q7355511,,,,,,Rockmelons,https://www.wikidata.org/wiki/Q7355511,,musical group,,,
Q494270,,,band,,,Rogue Traders,https://www.wikidata.org/wiki/Q494270,,musical group,,,
Q28225667,,,,,,Rok,https://www.wikidata.org/wiki/Q28225667,,musical group,,,
Q7361079,,,Australian band,,,Rollerball,https://www.wikidata.org/wiki/Q7361079,,musical group,,,
Q7361101,,,,,,Rollerskates,https://www.wikidata.org/wiki/Q7361101,,musical group,,,
Q41498776,,,australian indie guitar band,,,Rolling Blackouts Coastal Fever,https://www.wikidata.org/wiki/Q41498776,1/1/2013,musical group,,,
Q7366540,,,Australian band,,,Root!,https://www.wikidata.org/wiki/Q7366540,1/1/2004,musical group,,,
Q1540822,,,Australian band,,,Rose Tattoo,https://www.wikidata.org/wiki/Q1540822,1/1/1976,musical group,,,
Q51030119,,,,,,Rote Mare,https://www.wikidata.org/wiki/Q51030119,,musical group,,,
Q7372453,,,Australian band,,,Roxus,https://www.wikidata.org/wiki/Q7372453,1/1/1987,musical group,,,
Q24997577,,,,,,Royal Headache,https://www.wikidata.org/wiki/Q24997577,,musical group,,,
